Feature,Scores
3900,0.359505051
4101,0.358954287
5803,0.356932943
5200,0.356543519
4402,0.3553396
5100,0.354249225
5500,0.353644993
4900,0.351161223
5503,0.350522204
5103,0.350362195
5003,0.348999376
3500,0.344952364
5300,0.341914984
4204,0.341062789
4400,0.338762654
4603,0.337933855
5703,0.337808903
5700,0.337402567
4200,0.334736956
3501,0.334625242
3600,0.334325926
6003,0.334184429
5403,0.334115521
7202,0.33390335
3007,0.332653527
4500,0.331745136
5902,0.331588012
5802,0.330641306
7303,0.330378841
5000,0.330292357
5702,0.329731729
5600,0.329564271
4003,0.329167794
7502,0.328686027
4803,0.328408772
6202,0.327186279
4006,0.326811361
5903,0.326250243
5203,0.325861235
6102,0.325442279
4601,0.325272515
4904,0.324330598
4600,0.324206642
5005,0.324196131
4602,0.324142723
3400,0.322517725
5701,0.32219648
4002,0.321587887
5804,0.321056773
3404,0.321004355
6097,0.320886707
4302,0.320589637
3502,0.320511339
6000,0.320228687
4405,0.320156012
5900,0.320136501
3805,0.319983912
4702,0.319515382
4800,0.319476392
5899,0.319345212
5901,0.319278618
5302,0.318131656
7197,0.3178628
4305,0.317793203
3901,0.317496963
3803,0.317257792
4105,0.317151561
4502,0.316637719
6200,0.315841063
4505,0.315784794
4103,0.31575296
5805,0.315702417
2905,0.315234529
5400,0.314835072
5800,0.314561652
4703,0.314283576
5603,0.313929958
3801,0.313102562
4596,0.312953796
5303,0.312127929
4805,0.311958744
5105,0.311563653
4102,0.311447416
5602,0.311407886
4401,0.31136127
6001,0.311280046
6100,0.311048806
4404,0.311036611
4503,0.311017263
5897,0.310897156
4802,0.310693734
4705,0.310607527
4501,0.310539557
5401,0.310340506
4307,0.310179052
3605,0.310059488
6798,0.309918498
6701,0.309827993
3802,0.309156357
3207,0.308798952
4205,0.308357908
6103,0.307989647
4704,0.307970589
6298,0.307747045
4397,0.307537358
5801,0.306836793
5304,0.306238936
3102,0.305827023
3706,0.3046712
5301,0.304591577
4604,0.304535587
6304,0.304496048
3601,0.304470555
5604,0.304363485
4001,0.304087479
6500,0.303839076
6398,0.303814812
4100,0.303650875
4301,0.303594104
5502,0.303282708
3402,0.303071651
4902,0.302671917
4201,0.302371912
4094,0.302132985
6804,0.302112228
2802,0.302009123
6496,0.301818001
5997,0.301455627
